radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,520,5,1023,19866936,0,100.558,13.711,6299,1,1,0,0,0
UMTS,520,18,14707,7087987,0,100.552,13.711,1000,1,1,0,0,0
LTE,520,4,37010,842,0,100.551,13.711,1000,1,1,0,0,0
UMTS,520,18,14612,7347972,0,100.566,13.711,1901,1,1,0,0,0
LTE,520,3,847,156929383,0,100.561,13.711,3562,1,1,0,0,0
UMTS,520,3,20025,42119080,0,100.561,13.711,1000,1,1,0,0,0
LTE,520,5,112,269058,0,100.559,13.711,1000,1,1,0,0,0
UMTS,520,4,1605,137730807,0,100.551,13.711,1000,1,1,0,0,0
UMTS,520,0,1017,9997613,0,100.567,13.711,1000,1,1,0,0,0
UMTS,520,5,3051,64440834,0,100.565,13.711,1000,1,1,0,0,0
UMTS,520,5,3051,23342604,0,100.554,13.711,1000,1,1,0,0,0
LTE,520,3,912,156941669,0,100.56,13.711,1000,1,1,0,0,0
LTE,520,4,4010,1369856,0,100.566,13.711,1000,1,1,0,0,0
LTE,520,1,26040,1042,0,100.551,13.711,1232,1,1,0,0,0
LTE,520,5,4010,14674206,0,100.564,13.711,1000,1,1,0,0,0
UMTS,520,18,3133,23866653,0,100.551,13.711,1000,1,1,0,0,0
UMTS,520,15,20021,42125985,0,100.564,13.711,1000,1,1,0,0,0
LTE,520,4,4032,37038230,0,100.564,13.711,1000,1,1,0,0,0
LTE,520,3,847,156929512,0,100.564,13.711,1000,1,1,0,0,0
LTE,520,5,54006,79156912,0,100.566,13.711,1000,1,1,0,0,0
UMTS,520,3,15025,41706547,0,100.552,13.711,1000,1,1,0,0,0
GSM,520,99,16061,4024,0,100.556,13.711,1000,1,1,0,0,0
UMTS,520,3,14006,554,0,100.551,13.711,4303,1,1,0,0,0
GSM,520,1,26040,1186,0,100.551,13.711,1000,1,1,0,0,0
UMTS,520,15,20021,42125297,0,100.561,13.711,2896,1,1,0,0,0
LTE,520,99,3051,64440833,0,100.563,13.711,1000,1,1,0,0,0
LTE,520,5,181,102659,0,100.552,13.711,1000,1,1,0,0,0
LTE,520,3,847,156929387,0,100.564,13.712,1000,1,1,0,0,0
LTE,520,4,4032,37038212,0,100.565,13.712,1000,1,1,0,0,0
LTE,520,3,847,156929429,0,100.565,13.712,1000,1,1,0,0,0
UMTS,520,18,14707,7087986,0,100.55,13.712,1000,1,1,0,0,0
UMTS,520,18,14707,7087983,0,100.55,13.712,2086,1,1,0,0,0
UMTS,520,5,3133,23866656,0,100.551,13.712,1000,1,1,0,0,0
LTE,520,4,1010,3228446,0,100.554,13.712,1000,1,1,0,0,0
LTE,520,47,33051,76902165,0,100.563,13.712,1000,1,1,0,0,0
UMTS,520,3,13015,42617436,0,100.566,13.712,1000,1,1,0,0,0
UMTS,520,3,20025,42113149,0,100.552,13.712,1000,1,1,0,0,0
LTE,520,5,4010,16827167,0,100.566,13.712,1000,1,1,0,0,0
LTE,520,3,912,157057637,0,100.558,13.712,1000,1,1,0,0,0
LTE,520,4,4032,37038210,0,100.563,13.712,1000,1,1,0,0,0
UMTS,520,15,13011,42623825,0,100.564,13.712,1000,1,1,0,0,0
LTE,520,4,4032,39301251,0,100.566,13.712,1000,1,1,0,0,0
LTE,520,4,2401,779267,0,100.564,13.712,1000,1,1,0,0,0
UMTS,520,4,1605,137727277,0,100.565,13.712,5423,1,1,0,0,0
LTE,520,4,1010,1369857,0,100.563,13.712,1000,1,1,0,0,0
GSM,520,1,16010,714,0,100.564,13.712,1000,1,1,0,0,0
UMTS,520,3,13015,42617426,0,100.565,13.712,1000,1,1,0,0,0
GSM,520,18,14612,8543,0,100.565,13.712,1000,1,1,0,0,0
UMTS,520,3,20025,42117954,0,100.565,13.712,1000,1,1,0,0,0
GSM,520,1,16010,643,0,100.566,13.712,1000,1,1,0,0,0
UMTS,520,5,181,372912,0,100.552,13.712,1000,1,1,0,0,0
UMTS,520,3,20025,42112813,0,100.552,13.712,1000,1,1,0,0,0
UMTS,520,3,20025,42081775,0,100.552,13.712,1000,1,1,0,0,0
UMTS,520,3,20025,42081777,0,100.552,13.712,1000,1,1,0,0,0
UMTS,520,3,16025,41882744,0,100.552,13.712,1000,1,1,0,0,0
LTE,520,4,1010,10048286,0,100.552,13.712,1000,1,1,0,0,0
UMTS,520,5,3051,23342368,0,100.552,13.712,1000,1,1,0,0,0
UMTS,520,18,14612,23342365,0,100.552,13.712,1000,1,1,0,0,0
LTE,520,4,1010,11499836,0,100.552,13.712,1000,1,1,0,0,0
UMTS,520,5,3051,7341217,0,100.552,13.712,1000,1,1,0,0,0
UMTS,520,3,16025,41882742,0,100.553,13.712,1000,1,1,0,0,0
UMTS,520,18,14612,23342367,0,100.553,13.712,1000,1,1,0,0,0
UMTS,520,15,1102,6882382,0,100.553,13.712,1000,1,1,0,0,0
UMTS,520,4,1602,137732211,0,100.553,13.712,1000,1,1,0,0,0
UMTS,520,3,20025,42136535,0,100.56,13.712,1000,1,1,0,0,0
UMTS,520,3,15025,41696434,0,100.56,13.712,1000,1,1,0,0,0
UMTS,520,3,13015,42619340,0,100.561,13.712,1000,1,1,0,0,0
UMTS,520,3,15025,2983446,0,100.563,13.712,1000,1,1,0,0,0
UMTS,520,3,20025,42603856,0,100.563,13.712,1000,1,1,0,0,0
UMTS,520,0,1017,10017584,0,100.563,13.712,1000,1,1,0,0,0
UMTS,520,3,13015,42603856,0,100.563,13.712,1000,1,1,0,0,0
UMTS,520,3,13015,42617412,0,100.563,13.712,1000,1,1,0,0,0
LTE,520,4,1010,1369887,0,100.563,13.712,1000,1,1,0,0,0
UMTS,520,3,13015,42617411,0,100.563,13.712,1000,1,1,0,0,0
UMTS,520,3,15025,2983441,0,100.564,13.712,1000,1,1,0,0,0
GSM,520,18,14612,6108,0,100.564,13.712,1000,1,1,0,0,0
UMTS,520,3,20025,42617432,0,100.564,13.712,1000,1,1,0,0,0
UMTS,520,3,55090,42603858,0,100.564,13.712,1000,1,1,0,0,0
UMTS,520,3,55090,42603859,0,100.564,13.712,1000,1,1,0,0,0
UMTS,520,3,55090,42617413,0,100.564,13.712,1000,1,1,0,0,0
UMTS,520,3,55090,42617432,0,100.564,13.712,1000,1,1,0,0,0
UMTS,520,3,15025,41696444,0,100.564,13.712,1000,1,1,0,0,0
UMTS,520,3,15025,41696442,0,100.564,13.712,1000,1,1,0,0,0
UMTS,520,3,16025,41897430,0,100.564,13.712,1000,1,1,0,0,0
UMTS,520,3,16025,41897436,0,100.564,13.712,1000,1,1,0,0,0
UMTS,520,3,16025,41897420,0,100.564,13.712,1000,1,1,0,0,0
UMTS,520,3,13015,42617416,0,100.564,13.712,1000,1,1,0,0,0
UMTS,520,0,18,9997614,0,100.564,13.712,1000,1,1,0,0,0
UMTS,520,0,18,9996183,0,100.564,13.712,1000,1,1,0,0,0
UMTS,520,0,1017,137725847,0,100.564,13.712,1000,1,1,0,0,0
UMTS,520,3,20025,42603858,0,100.565,13.712,1000,1,1,0,0,0
UMTS,520,3,20025,42617436,0,100.565,13.712,1000,1,1,0,0,0
UMTS,520,3,55090,42617436,0,100.565,13.712,1000,1,1,0,0,0
UMTS,520,3,15025,41696438,0,100.565,13.712,1000,1,1,0,0,0
UMTS,520,3,15025,41696448,0,100.565,13.712,1000,1,1,0,0,0
UMTS,520,3,16025,41882526,0,100.565,13.712,1000,1,1,0,0,0
UMTS,520,3,16025,41897440,0,100.565,13.712,1000,1,1,0,0,0
UMTS,520,3,16025,42603855,0,100.565,13.712,1000,1,1,0,0,0
UMTS,520,3,13015,42603858,0,100.565,13.712,1000,1,1,0,0,0
UMTS,520,3,13015,43096954,0,100.565,13.712,1000,1,1,0,0,0
LTE,520,4,1010,1369886,0,100.565,13.712,1000,1,1,0,0,0
LTE,520,4,1010,1369856,0,100.565,13.712,1000,1,1,0,0,0
UMTS,520,5,3052,23336924,0,100.565,13.712,1000,1,1,0,0,0
UMTS,520,3,7025,42117954,0,100.565,13.712,1000,1,1,0,0,0
UMTS,520,3,7025,42117944,0,100.565,13.712,1000,1,1,0,0,0
UMTS,520,3,7025,42117964,0,100.565,13.712,1000,1,1,0,0,0
UMTS,520,0,18,10007563,0,100.565,13.712,1000,1,1,0,0,0
UMTS,520,3,13015,42619344,0,100.565,13.712,1000,1,1,0,0,0
UMTS,520,3,13015,42618254,0,100.565,13.712,1000,1,1,0,0,0
UMTS,520,3,13015,42617422,0,100.564,13.712,1000,1,1,0,0,0
UMTS,520,15,20021,42112824,0,100.551,13.712,1000,1,1,0,0,0
UMTS,520,4,1017,9996183,0,100.559,13.712,1000,1,1,0,0,0
UMTS,520,0,1017,9997614,0,100.564,13.712,1000,1,1,0,0,0
UMTS,520,0,1017,10006649,0,100.553,13.712,1000,1,1,0,0,0
LTE,520,3,912,156942182,0,100.557,13.712,1193,1,1,0,0,0
UMTS,520,15,13011,42618251,0,100.566,13.712,1000,1,1,0,0,0
UMTS,520,5,3023,23135649,0,100.564,13.712,2375,1,1,0,0,0
LTE,520,5,112,269059,0,100.553,13.712,1000,1,1,0,0,0
LTE,520,3,847,156929411,0,100.565,13.712,1000,1,1,0,0,0
LTE,520,4,4010,10181406,0,100.557,13.712,4800,1,1,0,0,0
UMTS,520,5,3051,23343799,0,100.559,13.712,1000,1,1,0,0,0
UMTS,520,4,1017,9997614,0,100.561,13.712,1000,1,1,0,0,0
UMTS,520,3,13015,42618252,0,100.564,13.712,1000,1,1,0,0,0
LTE,520,3,444,9917523,0,100.56,13.712,2932,1,1,0,0,0
UMTS,520,5,112,78312,0,100.565,13.712,1000,1,1,0,0,0
LTE,520,3,847,156929392,0,100.564,13.712,1000,1,1,0,0,0
LTE,520,1,37010,517,0,100.553,13.712,1031,1,1,0,0,0
GSM,520,1,34040,957,0,100.553,13.712,1000,1,1,0,0,0
LTE,520,3,912,154630508,0,100.552,13.712,1000,1,1,0,0,0
GSM,520,1,26040,791,0,100.564,13.712,1000,1,1,0,0,0
UMTS,520,5,3051,23336924,0,100.564,13.712,9633,1,1,0,0,0
UMTS,520,0,1017,10013547,0,100.555,13.712,1274,1,1,0,0,0
UMTS,520,4,1620,137727277,0,100.566,13.712,1000,1,1,0,0,0
UMTS,520,4,1620,137727278,0,100.566,13.712,1000,1,1,0,0,0
UMTS,520,0,1017,10000217,0,100.558,13.712,1719,1,1,0,0,0
UMTS,520,5,14707,7087983,0,100.55,13.712,1000,1,1,0,0,0
UMTS,520,1,912,154630502,0,100.553,13.712,1000,1,1,0,0,0
LTE,520,3,847,156931173,0,100.564,13.712,5504,1,1,0,0,0
LTE,520,4,26040,789,0,100.564,13.712,1000,1,1,0,0,0
UMTS,520,4,26040,1041,0,100.553,13.712,1000,1,1,0,0,0
UMTS,520,5,14707,7087986,0,100.55,13.712,1000,1,1,0,0,0
UMTS,520,5,3133,23866655,0,100.552,13.712,1000,1,1,0,0,0
LTE,520,4,4010,8886016,0,100.562,13.712,5945,1,1,0,0,0
UMTS,520,15,20021,42125746,0,100.553,13.712,1648,1,1,0,0,0
LTE,520,5,54006,76902165,0,100.564,13.712,1000,1,1,0,0,0
GSM,520,99,1605,34783,0,100.567,13.712,1000,1,1,0,0,0
UMTS,520,5,3051,23343800,0,100.559,13.712,1000,1,1,0,0,0
LTE,520,4,4010,10181407,0,100.559,13.712,8325,1,1,0,0,0
LTE,520,4,20010,1369917,0,100.561,13.712,1000,1,1,0,0,0
UMTS,520,15,20021,42113374,0,100.554,13.712,1000,1,1,0,0,0
LTE,520,4,1670,496730,0,100.554,13.712,1000,1,1,0,0,0
LTE,520,4,4032,35218326,0,100.562,13.712,1000,1,1,0,0,0
UMTS,520,5,3051,23336926,0,100.565,13.712,2526,1,1,0,0,0
GSM,520,1,4020,38920,0,100.553,13.712,1000,1,1,0,0,0
UMTS,520,18,14612,7347973,0,100.563,13.712,2518,1,1,0,0,0
LTE,520,3,847,156948839,0,100.565,13.712,561,1,1,0,0,0
UMTS,520,4,65534,1369856,0,100.565,13.712,1000,1,1,0,0,0
LTE,520,47,33051,76902155,0,100.562,13.712,1000,1,1,0,0,0
UMTS,520,18,14612,7352215,0,100.559,13.712,1000,1,1,0,0,0
GSM,520,18,14612,8545,0,100.562,13.712,1000,1,1,0,0,0
UMTS,520,3,13015,42617929,0,100.566,13.712,1000,1,1,0,0,0
LTE,520,5,4010,14674289,0,100.562,13.712,1000,1,1,0,0,0
LTE,520,4,4010,1369887,0,100.562,13.712,7296,1,1,0,0,0
LTE,520,4,14002,2665,0,100.564,13.712,1000,1,1,0,0,0
LTE,520,3,912,154630531,0,100.554,13.713,2041,1,1,0,0,0
LTE,520,4,4032,37038232,0,100.562,13.713,1000,1,1,0,0,0
LTE,520,3,847,156929513,0,100.562,13.713,1000,1,1,0,0,0
UMTS,520,3,20025,42113158,0,100.551,13.713,1495,1,1,0,0,0
UMTS,520,0,18,10007564,0,100.564,13.713,1000,1,1,0,0,0
UMTS,520,5,3051,23342599,0,100.56,13.713,1000,1,1,0,0,0
LTE,520,4,1010,3228416,0,100.554,13.713,1000,1,1,0,0,0
UMTS,520,3,13015,42617423,0,100.562,13.713,1000,1,1,0,0,0
UMTS,520,18,14612,7348578,0,100.566,13.713,1000,1,1,0,0,0
UMTS,520,15,13011,42617372,0,100.565,13.713,1431,1,1,0,0,0
UMTS,520,15,13011,42618255,0,100.564,13.713,1000,1,1,0,0,0
UMTS,520,18,14612,7348577,0,100.561,13.713,1000,1,1,0,0,0
LTE,520,4,20010,30003516,0,100.558,13.713,1000,1,1,0,0,0
LTE,520,3,912,156933508,0,100.562,13.713,1000,1,1,0,0,0
LTE,520,3,847,156929403,0,100.564,13.713,2951,1,1,0,0,0
LTE,520,4,5010,5179167,0,100.551,13.713,1000,1,1,0,0,0
LTE,520,3,912,156941164,0,100.557,13.713,1000,1,1,0,0,0
UMTS,520,3,13015,42618251,0,100.565,13.713,1000,1,1,0,0,0
LTE,520,18,3051,64440835,0,100.564,13.713,1000,1,1,0,0,0
GSM,520,99,1605,34924,0,100.553,13.713,2056,1,1,0,0,0
GSM,520,18,14612,7940,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,3,15025,41712489,0,100.553,13.713,1000,1,1,0,0,0
GSM,520,99,1605,34923,0,100.552,13.713,2054,1,1,0,0,0
LTE,520,18,3051,62532866,0,100.554,13.713,9939,1,1,0,0,0
UMTS,520,3,13015,42617431,0,100.567,13.713,1000,1,1,0,0,0
UMTS,520,5,3051,23336925,0,100.563,13.713,1000,1,1,0,0,0
UMTS,520,18,14612,7348574,0,100.562,13.713,1000,1,1,0,0,0
UMTS,520,15,13011,42115794,0,100.565,13.713,1000,1,1,0,0,0
UMTS,520,3,20025,42113235,0,100.552,13.713,2774,1,1,0,0,0
UMTS,520,18,14612,7341192,0,100.554,13.713,1000,1,1,0,0,0
UMTS,520,4,1605,9997614,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,3,20025,42117944,0,100.562,13.713,1000,1,1,0,0,0
UMTS,520,3,20025,42133715,0,100.553,13.713,1000,1,1,0,0,0
UMTS,520,3,20025,42133705,0,100.553,13.713,1000,1,1,0,0,0
UMTS,520,3,15025,41706557,0,100.553,13.713,1000,1,1,0,0,0
UMTS,520,3,13015,41882744,0,100.553,13.713,1000,1,1,0,0,0
GSM,520,1,26040,845,0,100.553,13.713,1000,1,1,0,0,0
GSM,520,99,1605,34922,0,100.553,13.713,1000,1,1,0,0,0
GSM,520,5,181,4011,0,100.554,13.713,1000,1,1,0,0,0
UMTS,520,3,20025,41891646,0,100.554,13.713,1000,1,1,0,0,0
UMTS,520,3,16025,41891626,0,100.554,13.713,1000,1,1,0,0,0
UMTS,520,3,13015,41882924,0,100.554,13.713,1000,1,1,0,0,0
UMTS,520,5,3052,23342364,0,100.554,13.713,1000,1,1,0,0,0
UMTS,520,3,13015,42118684,0,100.554,13.713,1000,1,1,0,0,0
UMTS,520,3,20025,42133145,0,100.559,13.713,1000,1,1,0,0,0
UMTS,520,3,20025,42119070,0,100.56,13.713,1000,1,1,0,0,0
UMTS,520,3,13015,41898777,0,100.56,13.713,1000,1,1,0,0,0
UMTS,520,3,13015,42119060,0,100.56,13.713,1000,1,1,0,0,0
UMTS,520,3,13015,41898767,0,100.56,13.713,1000,1,1,0,0,0
UMTS,520,3,13015,42081705,0,100.56,13.713,1000,1,1,0,0,0
GSM,520,23,10059,1943,0,100.56,13.713,1000,1,1,0,0,0
LTE,520,3,847,156942182,0,100.56,13.713,1000,1,1,0,0,0
UMTS,520,3,13015,42125422,0,100.56,13.713,1000,1,1,0,0,0
UMTS,520,3,20025,42119060,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,3,20025,42123434,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,3,20025,42133144,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,3,20025,42617413,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,3,20025,42603859,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,3,20025,42617433,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,3,20025,42617423,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,3,55090,42617433,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,3,16025,41882524,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,3,16025,41882527,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,3,16025,41897437,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,3,16025,41899920,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,3,16025,42617433,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,3,13015,42119070,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,3,13015,41891646,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,3,13015,42603859,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,3,13015,42617413,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,5,3052,23336923,0,100.561,13.713,1000,1,1,0,0,0
GSM,520,23,10059,2037,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,3,7025,42117945,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,3,13015,42119063,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,3,20025,42618253,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,3,20025,42119093,0,100.563,13.713,1000,1,1,0,0,0
UMTS,520,3,16025,42123660,0,100.563,13.713,1000,1,1,0,0,0
UMTS,520,3,16025,42603856,0,100.563,13.713,1000,1,1,0,0,0
UMTS,520,3,16025,42617423,0,100.563,13.713,1000,1,1,0,0,0
UMTS,520,3,20025,42117950,0,100.564,13.713,1000,1,1,0,0,0
UMTS,520,3,20025,42117970,0,100.564,13.713,1000,1,1,0,0,0
UMTS,520,3,20025,42117960,0,100.564,13.713,1000,1,1,0,0,0
UMTS,520,3,55090,42617423,0,100.564,13.713,1000,1,1,0,0,0
UMTS,520,3,55090,42603857,0,100.564,13.713,1000,1,1,0,0,0
UMTS,520,3,15025,41696432,0,100.564,13.713,1000,1,1,0,0,0
UMTS,520,3,16025,41897422,0,100.564,13.713,1000,1,1,0,0,0
UMTS,520,3,16025,41898065,0,100.564,13.713,1000,1,1,0,0,0
UMTS,520,0,18,7315266,0,100.564,13.713,1000,1,1,0,0,0
UMTS,520,0,18,7337266,0,100.564,13.713,1000,1,1,0,0,0
UMTS,520,4,1605,7313238,0,100.564,13.713,1000,1,1,0,0,0
UMTS,520,0,1017,7320502,0,100.564,13.713,1000,1,1,0,0,0
UMTS,520,18,14612,9122974,0,100.564,13.713,1000,1,1,0,0,0
UMTS,520,5,3133,23866652,0,100.554,13.713,1000,1,1,0,0,0
UMTS,520,18,14782,9122974,0,100.566,13.713,2091,1,1,0,0,0
GSM,520,1,26040,793,0,100.561,13.713,6647,1,1,0,0,0
UMTS,520,15,20021,42113732,0,100.563,13.713,1000,1,1,0,0,0
UMTS,520,3,13015,42114874,0,100.565,13.713,1000,1,1,0,0,0
UMTS,520,4,1602,137730224,0,100.554,13.713,5653,1,1,0,0,0
LTE,520,3,912,153604197,0,100.563,13.713,1000,1,1,0,0,0
GSM,520,1,16010,546,0,100.554,13.713,1000,1,1,0,0,0
LTE,520,4,5010,11499806,0,100.555,13.713,8787,1,1,0,0,0
GSM,520,1,16010,715,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,15,13011,42615498,0,100.564,13.713,1000,1,1,0,0,0
UMTS,520,15,13011,42618252,0,100.565,13.713,1000,1,1,0,0,0
LTE,520,99,3051,64440834,0,100.564,13.713,1000,1,1,0,0,0
LTE,520,4,4032,35218306,0,100.56,13.713,1000,1,1,0,0,0
LTE,520,4,20010,11499836,0,100.553,13.713,1166,1,1,0,0,0
LTE,520,15,2968,156940515,0,100.554,13.713,1000,1,1,0,0,0
UMTS,520,3,20025,42117955,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,15,20021,42113577,0,100.562,13.713,1000,1,1,0,0,0
LTE,520,3,493,10965323,0,100.555,13.713,3977,1,1,0,0,0
UMTS,520,5,3133,23872440,0,100.551,13.713,2820,1,1,0,0,0
LTE,520,3,847,156929413,0,100.561,13.713,1000,1,1,0,0,0
UMTS,520,0,1017,10007297,0,100.554,13.713,1000,1,1,0,0,0
UMTS,520,5,112,322212,0,100.56,13.713,1000,1,1,0,0,0
UMTS,520,15,20021,42116047,0,100.564,13.713,1000,1,1,0,0,0
LTE,520,3,912,156940400,0,100.554,13.713,1000,1,1,0,0,0
UMTS,520,15,3011,43112745,0,100.551,13.713,3744,1,1,0,0,0
LTE,520,5,112,269057,0,100.559,13.714,1000,1,1,0,0,0
LTE,520,3,912,156940519,0,100.554,13.714,1000,1,1,0,0,0
UMTS,520,99,1019,10322177,0,100.565,13.714,1000,1,1,0,0,0
UMTS,520,3,444,9562201,0,100.553,13.714,1000,1,1,0,0,0
